;kappa1;kappa2;gauss_curvature;mean_curvature;shape_index;curvedness;triangleAreas
276;-0.312706667443;-0.44799734143;0.140091755662;-0.380352004436;-0.887949219956;0.38632051317;0.128402955887
277;-0.36938397503;-0.474959122354;0.175442288592;-0.422171548692;-0.920809202417;0.425458980935;0.124106433445
278;-0.311851065775;-0.456539704961;0.142372393561;-0.384195385368;-0.88151137693;0.390947304269;0.133118209509
279;-0.432404835508;-0.514735113734;0.222573952184;-0.473569974621;-0.944800483241;0.475355750507;0.13022769506
280;-0.438777738085;-0.521897361575;0.228996943824;-0.48033754983;-0.945055157147;0.482132118541;0.120144250774
281;-0.487590193476;-0.538378899235;0.262508271641;-0.512984546355;-0.968511018631;0.513612712029;0.111494118548
282;-0.504189408517;-0.520330698463;0.262345227091;-0.51226005349;-0.98997090036;0.512323625955;0.120332493503
283;-0.487291110242;-0.549591591908;0.267811097;-0.518441351075;-0.961795009766;0.51937632985;0.12257449791
284;-0.282077001967;-0.451490473028;0.127355079048;-0.366783737498;-0.855509354677;0.376437964527;0.115154722858
285;-0.472536439493;-0.531209762517;0.251015969804;-0.501873101005;-0.962829108601;0.502729797427;0.120749509439
286;-0.480420557086;-0.543936163854;0.261318114858;-0.51217836047;-0.960576633644;0.513161992951;0.129502885639
287;-0.480267514916;-0.5565864218;0.267310377634;-0.518426968358;-0.953225171841;0.519829458003;0.135450230862
288;-0.312316673457;-0.477324270134;0.149076328209;-0.394820471796;-0.868855664948;0.403348585828;0.1119888077
289;-0.341689909923;-0.49523533975;0.16921691863;-0.418462624837;-0.88448793337;0.425446845258;0.148486556256
290;-0.43852716826;-0.498189299351;0.218469542702;-0.468358233806;-0.959506577874;0.469307284884;0.124522230481
291;-0.461926781112;-0.494694072519;0.228512440554;-0.478310426816;-0.978202280523;0.478590940415;0.116401911211
292;-0.406265265069;-0.505778539313;0.20548025234;-0.456021902191;-0.930811990277;0.458728349043;0.120274704111
293;-0.389884273115;-0.488858573286;0.190598269502;-0.439371423201;-0.928597354047;0.442149551112;0.114454855379
294;-0.437372541261;-0.510366463352;0.223220277051;-0.473869502307;-0.951064781379;0.475272904111;0.126128161681
295;-0.405162372017;-0.494239903141;0.200247411502;-0.449701137579;-0.937153614871;0.451901333012;0.116938508789
296;-0.333992752552;-0.492226942667;0.164400231462;-0.413109847609;-0.879535878168;0.420617713515;0.119452810975
297;-0.38572803354;-0.47251427162;0.182262000812;-0.42912115258;-0.935842519182;0.431309548204;0.119380608927
298;-0.436651239702;-0.495572259109;0.216392241302;-0.466111749406;-0.959816013993;0.467041844556;0.118247184541
299;-0.481061252747;-0.524998028137;0.252556209105;-0.503029640442;-0.972215098892;0.503509115331;0.119652248969
300;-0.416895815309;-0.499273178093;0.208144898643;-0.458084496701;-0.942911830754;0.459932509824;0.125916820606
301;-0.373539567292;-0.495466683678;0.185076410628;-0.434503125485;-0.911257486836;0.438759069973;0.118329770774
302;-0.402903600771;-0.518586026009;0.208940177189;-0.46074481339;-0.920495628669;0.464361269857;0.12707250364
303;-0.49263346241;-0.517302235601;0.254840391436;-0.504967849005;-0.984452964066;0.505118466918;0.117096233051
304;-0.414626553734;-0.496297618914;0.205778171357;-0.455462086324;-0.94307455089;0.457289025454;0.120912856744
305;-0.341124589476;-0.467389146314;0.159437930662;-0.404256867895;-0.901376520091;0.409156815681;0.121641349044
306;-0.439635381668;-0.498333229916;0.219084919732;-0.468984305792;-0.960212374013;0.469901732734;0.114999895323
307;-0.286984436707;-0.457045635309;0.131164984199;-0.372015036008;-0.85694671847;0.381608948839;0.127732690975
308;-0.51026122579;-0.515188608868;0.262880771074;-0.512724917329;-0.996941005551;0.51273083643;0.11813763166
309;-0.42791760129;-0.493881931423;0.211340771415;-0.460899766356;-0.954520769155;0.462078367639;0.120725052435
310;-0.384470187071;-0.487009681114;0.187240703203;-0.435739934093;-0.925437286565;0.43874580012;0.123745197131
